"filename", "language", "JSON with Comments", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "HTML", "YAML", "JavaScript", "comment", "blank", "total"
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 0, 0, 0, 50, 0, 0, 11, 61
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\README.md", "Markdown", 0, 0, 0, 110, 0, 0, 0, 0, 0, 38, 148
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\assets\index-BqE1x8FA.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 490, 0, 21, 511
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\index.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 1, 1, 50
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\metadata.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\package-lock.json", "JSON", 0, 2052, 0, 0, 0, 0, 0, 0, 0, 1, 2053
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\package.json", "JSON", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 112, 0, 0, 0, 6, 13, 131
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\components\FeatureLockedView.tsx", "TypeScript JSX", 0, 0, 0, 0, 65, 0, 0, 0, 0, 6, 71
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\components\GamificationSnapshot.tsx", "TypeScript JSX", 0, 0, 0, 0, 149, 0, 0, 0, 0, 19, 168
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 793, 0, 0, 0, 24, 111, 928
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\components\MyStatusWidget.tsx", "TypeScript JSX", 0, 0, 0, 0, 216, 0, 0, 0, 15, 35, 266
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\config\features.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\index.html", "HTML", 0, 0, 0, 0, 0, 48, 0, 0, 1, 1, 50
"c:\Users\2160034597\OneDrive - Grupo Casas Bahia S.A\Área de Trabalho\Timesheet GRC e AI\AuditFlowTimesheet\src\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
